行業類別,比重(%)
亞洲不含日本,45.80%
其他產業,10.71%
半導體業,9.65%
新興拉丁美洲,9.56%
金融保險,4.70%
其餘行業 - 其它,4.26%
其餘行業 - 電腦及週邊設備業,2.50%
其餘行業 - 通信網路業,1.43%
其餘行業 - 塑膠工業,1.04%
其餘行業 - 電子零組件業,0.85%
其餘行業 - 其他電子業,0.64%
其餘行業 - 北美,0.60%
其餘行業 - 航運業,0.59%
其餘行業 - 食品工業,0.47%
其餘行業 - 汽車工業,0.45%
其餘行業 - 電子通路業,0.37%
其餘行業 - 光電業,0.33%
其餘行業 - 其他,0.30%
其餘行業 - 貿易百貨,0.18%
其餘行業 - 運動休閒,0.01%
