行業類別,比重(%)
北美,58.29%
日本,10.39%
已開發歐洲,6.77%
通信網路業,6.60%
其它,3.14%
其餘行業 - 亞洲不含日本,2.96%
其餘行業 - 其他產業,2.91%
其餘行業 - 半導體業,2.91%
其餘行業 - 汽車工業,2.82%
