行業類別,比重(%)
北美,62.15%
半導體業,12.07%
亞洲不含日本,8.07%
日本,7.99%
已開發歐洲,3.82%
其餘行業 - 其他產業,2.42%
其餘行業 - 電腦及週邊設備業,0.77%
其餘行業 - 電子零組件業,0.49%
其餘行業 - 通信網路業,0.39%
其餘行業 - 光電業,0.27%
