行業類別,比重(%)
半導體業,46.89%
電子零組件業,11.59%
電腦及週邊設備業,7.96%
其他電子業,6.37%
金融保險,6.18%
其餘行業 - 通信網路業,4.75%
其餘行業 - 電機機械,1.98%
其餘行業 - 電子通路業,1.91%
其餘行業 - 運動休閒,1.75%
其餘行業 - 航運業,1.51%
其餘行業 - 光電業,1.31%
其餘行業 - 化學工業,0.94%
其餘行業 - 汽車工業,0.91%
其餘行業 - 生技醫療業,0.80%
其餘行業 - 居家生活,0.78%
其餘行業 - 紡織纖維,0.77%
其餘行業 - 建材營造,0.64%
其餘行業 - 貿易百貨,0.54%
其餘行業 - 其他,0.47%
其餘行業 - 食品工業,0.45%
其餘行業 - 其他產業,0.31%
其餘行業 - 觀光餐旅,0.22%
其餘行業 - 資訊服務業,0.19%
其餘行業 - 水泥工業,0.15%
其餘行業 - 塑膠工業,0.08%
