行業類別,比重(%)
已開發歐洲,45.71%
北美,21.83%
亞洲不含日本,12.28%
日本,9.05%
電子零組件業,8.47%
其餘行業 - 電腦及週邊設備業,1.67%
其餘行業 - 其他產業,0.73%
其餘行業 - 其它,0.36%
