行業類別,比重(%)
半導體業,33.50%
其他電子業,13.78%
電腦及週邊設備業,10.27%
金融保險,8.93%
光電業,7.22%
其餘行業 - 航運業,7.18%
其餘行業 - 文化創意業,5.36%
其餘行業 - 建材營造,5.23%
其餘行業 - 化學工業,3.56%
其餘行業 - 食品工業,1.83%
其餘行業 - 鋼鐵工業,1.42%
其餘行業 - 通信網路業,1.05%
其餘行業 - 其他產業,0.28%
